site_code_cc,is_orchard_crop,is_annual_crop,is_forage_crop
COTTON LINT PIMA,,1,
HAY SUDAN,,1,
BROCCOLI FRESH MARKET,,1,
CAULIFLOWER FRESH MARKET,,1,
BARLEY FEED,,1,
BROCCOLI PROCESSING,,1,
BERRIES BLUEBERRIES,1,,
APIARY PRODUCTS POLLINATION FEES,,,
BEANS DRY EDIBLE UNSPECIFIED,,1,
NURSERY FRUIT/VINE/NUT NON-BEARING,,,
BERRIES LOGANBERRIES,1,,
NURSERY FRUIT/VINE/NUT NON-BEARIN,,,
HAY OTHER UNSPECIFIED,,1,
POULTRY UNSPECIFIED,,,
BEANS SNAP PROCESSING,,1,
CITRUS BY-PRODUCTS MISC.,,,
NURSERY PLANTS ROSE,,,
WOOL,,,
CHICKENS ROASTERS,,,
OATS SEED,,1,
ONIONS GREEN & SHALLOT,,1,
PEAS GREEN UNSPECIFIED,,1,
RUTABAGAS,,1,
RYE SEED,,1,
BEETS GARDEN,,1,
BIOMASS FOR ENERGY,,,
PARSNIPS,,1,
PEAS GREEN PROCESSING,,1,
POTATOES SWEET,,1,
RADISHES,,1,
CARROTS FRESH MARKET,,1,
WOOD WASTE BURNED ELEC.,,,
CARROTS PROCESSING,,1,
MINK,,,
COTTON LINT UPLAND,,1,
GAME BIRDS OSTRICH & EMU,,,
LETTUCE BULK SALAD PRODS.,,1,
PASTURE FORAGE MISC.,,,1
APIARY PRODUCTS BEES UNSPECIFIED,,,
NURSERY FLOWER PROPAGATIVE MATERIALS,,,
NURSERY HERBACIOUS PERERNNIALS,,,
OSTRICH & EMU,,,
POTATOES ALL,,1,
SEED VEGETABLE & VINECROP,,1,
NURSERY FLOWER PROPAGATIVE MATERI,,,
SAFFLOWER SEED PLANTING,,1,
BEANS GARBANZO,,1,
CABBAGE CH. & SPECIALTY,,1,
NURSERY FLOWER SEEDS,,,
PEANUTS ALL,,1,
BEANS BLACKEYE (PEAS),,1,
GOATS MILK,,,
BEANS LIMA UNSPECIFIED,,1,
SORGHUM SILAGE,,1,
TRITICALE,,1,
GRAPES UNSPECIFIED,1,,
BERRIES BOYSENBERRIES,1,,
CATTLE BEEF BULLS BREEDING,,,
CATTLE BEEF COW BREEDING,,,
CATTLE BEEF COWS CULL,,,
CATTLE CALVES VEAL,,,
CATTLE CALVES WEANER,,,
CATTLE DAIRY COWS BREEDING,,,
CATTLE HEIFERS FED STEERS,,,
CATTLE MILK COWS CULL,,,
CATTLE STOCKERS FEEDERS,,,
SHEEP EWES CULL,,,
SHEEP LAMBS FEEDLOT FAT,,,
TOMATOES CHERRY,,1,
BERRIES STRAWBERRIES F MKT,,1,
CAULIFLOWER PROCESSING,,1,
EGGS CHICKEN UNSPECIFIED,,,
BEANS LIMA GREEN,,1,
BEANS SEED,,1,
BERRIES OLALLIEBERRIES,1,,
BERRIES STRAWBERRIES PROC.,,1,
COLLARD GREENS,,1,
EGGS CHICKEN HATCHING,,,
EGGS TURKEY HATCHING,,,
ENDIVE ALL,,1,
FLOWERS FOLIAGE CUT ALL,,1,
GREENS TURNIP & MUSTARD,,1,
KALE,,1,
LEEKS,,1,
LETTUCE LEAF,,1,
LETTUCE ROMAINE,,1,
MUSHROOMS,,1,
MUSTARD,,1,
NURSERY PLANTS POT'D UNSP,,,
OATS GRAIN,,1,
PARSLEY,,1,
PEARS BARTLETT,1,,
RICE SEED,,1,
SEED SUDAN GRASS,,1,
SPROUTS ALFALFA & BEAN,,1,
SWISS CHARD,,1,
TARO ROOT,,1,
CUCUMBERS GREENHOUSE,,1,
MELONS CASABA,,1,
CATTLE CALVES ONLY,,,
CELERY UNSPECIFIED,,1,
CORN CRAZY,,1,
ESCAROLE ALL,,1,
HOGS FEEDER PIGS,,,
HOGS SLAUGHTER,,,
ASPARAGUS FRESH MARKET,,1,
CATTLE HEIFERS & STEERS FED,,,
PLUMCOTS,1,,
